-49985,-49083
-50061,-49159
-50137,-49234
-50212,-49309
-50288,-49383
-50364,-49457
-50440,-49532
-50524,-49612
-50602,-49683
-50678,-49755
-50754,-49825
-50832,-49893
-50907,-49963
-50981,-50033
-51057,-50100
-51129,-50169
-51201,-50236
-51274,-50304
-51347,-50370
-51416,-50437
-51487,-50503
-51559,-50570
-51630,-50640
-51700,-50709
-51769,-50777
-51839,-50849
-51910,-50918
-51981,-50991
-52052,-51063
-52123,-51133
-52192,-51204
-52260,-51276
-52329,-51345
-52395,-51416
-52462,-51483
-52530,-51552
-52599,-51623
-52671,-51693
-52740,-51764
-52810,-51833
-52880,-51898
-52956,-51974
-53028,-52041
-53100,-52109
-53173,-52179
-53246,-52248
-53321,-52318
-53395,-52389
-53470,-52459
-53544,-52530
-53618,-52601
-53694,-52671
-53768,-52742
-53841,-52812
-53915,-52882
-53989,-52951
-54061,-53021
-54132,-53088
-54205,-53154
-54278,-53222
-54352,-53294
-54426,-53364
-54497,-53434
-54572,-53501
-54646,-53570
-54720,-53645
-54794,-53720
-54867,-53796
-54942,-53872
-55017,-53945
-55092,-54020
-55166,-54097
-55243,-54172
-55320,-54249
-55399,-54326
-55487,-54416
-55567,-54499
-55649,-54581
-55728,-54662
-55808,-54743
-55888,-54826
-55969,-54907
-56051,-54991
-56133,-55074
-56216,-55154
-56298,-55237
-56380,-55317
-56463,-55398
-56544,-55477
-56624,-55556
-56706,-55633
-56787,-55711
-56866,-55789
-56944,-55862
-57024,-55934
-57101,-56007
-57178,-56076
-57252,-56147
-57329,-56216
-57405,-56287
-57482,-56358
-57558,-56430
-57634,-56502
-57711,-56574
-57788,-56648
-57864,-56723
-57939,-56799
-58014,-56876
-58089,-56951
-58169,-57033
-58241,-57108
-58313,-57183
-58384,-57257
-58455,-57333
-58527,-57408
-58600,-57482
-58672,-57559
-58745,-57633
-58816,-57708
-58887,-57779
-58958,-57848
-59030,-57920
-59104,-57989
-59178,-58061
-59252,-58131
-59326,-58203
-59402,-58273
-59478,-58343
-59556,-58413
-59633,-58485
-59709,-58556
-59786,-58626
-59863,-58695
-59939,-58764
-60016,-58833
-60092,-58904
-60170,-58974
-60246,-59048
-60323,-59120
-60398,-59193
-60478,-59265
-60556,-59340
-60632,-59417
-60716,-59499
-60792,-59577
-60869,-59653
-60944,-59730
-61019,-59808
-61092,-59885
-61164,-59961
-61235,-60036
-61306,-60111
-61376,-60185
-61448,-60259
-61519,-60332
-61591,-60407
-61665,-60482
-61740,-60559
-61814,-60638
-61892,-60716
-61969,-60796
-62046,-60880
-62125,-60962
-62204,-61044
-62282,-61124
-62361,-61204
-62440,-61280
-62520,-61356
-62600,-61430
-62680,-61504
-62759,-61577
-62840,-61651
-62922,-61724
-63004,-61797
-63086,-61871
-63169,-61944
-63254,-62021
-63339,-62100
-63433,-62187
-63518,-62271
-63607,-62356
-63698,-62444
-63791,-62537
-63885,-62630
-63983,-62724
-64080,-62821
-64177,-62916
-64273,-63013
-64369,-63108
-64462,-63201
-64554,-63295
-64645,-63387
-64734,-63479
-64825,-63570
-64915,-63660
-65006,-63752
-65097,-63845
-65187,-63939
-65275,-64032
-65364,-64122
-65452,-64211
-65541,-64299
-65630,-64389
-65721,-64478
-65811,-64570
-65904,-64661
-65995,-64755
-66089,-64848
-66184,-64940
-66279,-65034
-66378,-65126
-66476,-65220
-66583,-65323
-66681,-65414
-66780,-65506
-66878,-65600
-66975,-65696
-67075,-65793
-67176,-65892
-67276,-65992
-67377,-66090
-67478,-66190
-67578,-66288
